id,pr,label,tier,evidence_level,defect_is_bundle_primary_claim,exact_test,anchor,bundle,bundle_verdict,test,fix,logs,sibling_fix_leaves_red,n_assigned_findings,merged_in_from,restored,withdrawn,duplicate_of
10-D01,10,Plural *_ids hydration blindly calls .map on null/undefined and can drop unresolved relationship ids,D-verified,own_executed,True,"yes - defect-specific test, orthogonality proven",app/assets/javascripts/discourse/models/store.js.es6,10-B02,confirmed_regression,analysis/verified_gold/10/B02-plural-ids-hydration-blindly-calls-map-on-null-undefine/defects/10-D01/test.diff,analysis/verified_gold/10/B02-plural-ids-hydration-blindly-calls-map-on-null-undefine/defects/10-D01/fix.patch,analysis/verified_gold/10/B02-plural-ids-hydration-blindly-calls-map-on-null-undefine/defects/10-D01/logs,,122,[],,,
10-D02,10,port handling mismatch between validation and lookup,D-verified,own_executed,True,"yes - defect-specific test, orthogonality proven",app/models/embeddablehost.rb:2,10-B03,behavior_change_not_regression,analysis/verified_gold/10/B03-embeddable-hosts-saved-with-a-port-never-match-because-l/defects/10-D02/test.diff,analysis/verified_gold/10/B03-embeddable-hosts-saved-with-a-port-never-match-because-l/defects/10-D02/fix.patch,analysis/verified_gold/10/B03-embeddable-hosts-saved-with-a-port-never-match-because-l/defects/10-D02/logs,,103,['10-D06'],,,
10-D03,10,Blank/nil `host` crashes `before_validation` on a mutating (create/update) embeddable-host request,D-verified,own_executed,False,"yes - defect-specific test, orthogonality proven",app/models/embeddable_host.rb,10-B03,behavior_change_not_regression,analysis/verified_gold/10/B03-embeddable-hosts-saved-with-a-port-never-match-because-l/defects/10-D03/test.diff,analysis/verified_gold/10/B03-embeddable-hosts-saved-with-a-port-never-match-because-l/defects/10-D03/fix.patch,analysis/verified_gold/10/B03-embeddable-hosts-saved-with-a-port-never-match-because-l/defects/10-D03/logs,True,4,[],,,
10-D04,10,case-insensitive host comparison only lowercases stored column,D-verified,own_executed,False,"yes - defect-specific test, orthogonality proven",app/models/embeddablehost.rb:17,10-B03,behavior_change_not_regression,analysis/verified_gold/10/B03-embeddable-hosts-saved-with-a-port-never-match-because-l/defects/10-D04/test.diff,analysis/verified_gold/10/B03-embeddable-hosts-saved-with-a-port-never-match-because-l/defects/10-D04/fix.patch,analysis/verified_gold/10/B03-embeddable-hosts-saved-with-a-port-never-match-because-l/defects/10-D04/logs,True,17,[],,,
10-D07,10,Migrated legacy rows bypass validation and normalization,D-verified,own_executed,False,"yes - defect-specific test, orthogonality proven",app/models/embeddablehost.rb:2,10-B05,behavior_change_not_regression,analysis/verified_gold/10/B05-embeddablehost-hostname-validation-regex-rejects-valid-h/defects/10-D07/test.diff,analysis/verified_gold/10/B05-embeddablehost-hostname-validation-regex-rejects-valid-h/defects/10-D07/fix.patch,analysis/verified_gold/10/B05-embeddablehost-hostname-validation-regex-rejects-valid-h/defects/10-D07/logs,True,89,['10-D05'],,,
10-D08,10,"EmbeddableHost allows duplicate host mappings, making lookup via `.first` nondeterministic",D-verified,own_executed,True,"yes - defect-specific test, orthogonality proven",app/models/embeddablehost.rb:17,10-B06,behavior_change_not_regression,analysis/verified_gold/10/B06-embeddablehost-allows-duplicate-host-mappings-making-loo/defects/10-D08/test.diff,analysis/verified_gold/10/B06-embeddablehost-allows-duplicate-host-mappings-making-loo/defects/10-D08/fix.patch,analysis/verified_gold/10/B06-embeddablehost-allows-duplicate-host-mappings-making-loo/defects/10-D08/logs,,88,[],,,
10-D09,10,EmbeddableHost persists arbitrary categoryid without verifying category exists or is accessible,D-verified,own_executed,True,"yes - defect-specific test, orthogonality proven",app/controllers/admin/embeddablehostscontroller.rb:24,10-B09,behavior_change_not_regression,analysis/verified_gold/10/B09-embeddablehost-persists-arbitrary-categoryid-without-ver/defects/10-D09/test.diff,analysis/verified_gold/10/B09-embeddablehost-persists-arbitrary-categoryid-without-ver/defects/10-D09/fix.patch,analysis/verified_gold/10/B09-embeddablehost-persists-arbitrary-categoryid-without-ver/defects/10-D09/logs,,43,[],,,
10-D10,10,Irreversible destructive data migration in `change` permanently deletes site settings on rollback,D-verified,own_executed,True,"yes - defect-specific test, orthogonality proven",db/migrate/20150818190757createembeddablehosts.rb:31,10-B11,behavior_change_not_regression,analysis/verified_gold/10/B11-irreversible-destructive-data-migration-in-change-perman/defects/10-D10/test.diff,analysis/verified_gold/10/B11-irreversible-destructive-data-migration-in-change-perman/defects/10-D10/fix.patch,analysis/verified_gold/10/B11-irreversible-destructive-data-migration-in-change-perman/defects/10-D10/logs,,49,[],,,
10-D11,10,Migration uses create_table force: true causing silent drop/recreate and data loss,D-verified,own_executed,True,"yes - defect-specific test, orthogonality proven",db/migrate/20150818190757createembeddablehosts.rb:3,10-B12,behavior_change_not_regression,analysis/verified_gold/10/B12-migration-uses-createtable-force-true-causing-silent-dro/defects/10-D11/test.diff,analysis/verified_gold/10/B12-migration-uses-createtable-force-true-causing-silent-dro/defects/10-D11/fix.patch,analysis/verified_gold/10/B12-migration-uses-createtable-force-true-causing-silent-dro/defects/10-D11/logs,,24,[],,,
10-D12,10,PUT /admin/customize/embedding update is a no-op that returns 200 without persisting changes,D-verified,own_executed,True,"yes - defect-specific test, orthogonality proven",app/controllers/admin/embeddingcontroller.rb:10,10-B13,behavior_change_not_regression,analysis/verified_gold/10/B13-put--admin-customize-embedding-update-is-a-no-op-that-re/defects/10-D12/test.diff,analysis/verified_gold/10/B13-put--admin-customize-embedding-update-is-a-no-op-that-re/defects/10-D12/fix.patch,analysis/verified_gold/10/B13-put--admin-customize-embedding-update-is-a-no-op-that-re/defects/10-D12/logs,,23,[],,,
